city,latitude,longitude
Auburn,47.303722,-122.26608
Bainbridge Island,47.65526,-122.53508
Bellevue,47.432251,-121.803388
Bothell,47.751471,-122.20257
Bremerton,47.58675,-122.62371
Duvall,47.7353,-121.96222
Edmonds,47.803668,-122.37096
Enumclaw,47.193729,-121.91915
Everett,47.986274,-122.20222
Federal Way,47.311072,-122.31188
Gig Harbor,47.378121,-122.7222
Issaquah,47.522828,-122.02921
Kenmore,47.75287,-122.24736
Kent,47.369098,-122.192276
Kirkland,47.67903,-122.1934
Lake Stevens,48.028355,-122.06327
Lakewood,47.12562,-122.52294
Lynnwood,47.808816,-122.28394
Maple Valley,47.381989,-122.03553
Marysville,48.061269,-122.1588
Mercer Island,47.569271,-122.23233
Mountlake Terrace,47.790969,-122.30539
Mukilteo,47.916148,-122.30293
Poulsbo,47.743302,-122.63041
Puyallup,47.196272,-122.31577
Redmond,47.677471,-122.12138
Renton,47.467422,-122.21005
Sammamish,47.625364,-122.045347
Seattle,47.432251,-121.803388
Seattle - Beacon Hill,47.5526,-122.3009
Seattle - Belltown,47.6147,-122.3448
Seattle - Capitol Hill,47.6253,-122.3222
Seattle - Columbia City,47.5608,-122.287
Seattle - Magnolia,47.6468,-122.401
Seattle - Queen Anne,47.6323,-122.3569
Seattle - South Lake Union,47.6256,-122.3344
Seattle - Wallingford,47.6614,-122.3421
Seattle - West Seattle,47.5667,-122.3868
Shoreline,47.763669,-122.35384
Silverdale,47.720777,-122.71309
Tacoma,47.253671,-122.444335
Woodinville,47.758786,-122.10205
