Date,AMZN,BA,MSFT,BTC,Gold,30 T-Bond
2/29/2012,179.69,74.95,31.74,,1716.6,3.08
3/31/2012,202.51,74.37,32.26,,1674.3,3.35
4/30/2012,231.9,76.8,32.02,,1666.5,3.12
5/31/2012,212.91,69.61,29.19,,1564.2,2.67
6/30/2012,228.35,74.3,30.59,,1604.2,2.76
7/31/2012,233.3,73.91,29.47,,1612.4,2.56
8/31/2012,248.27,71.4,30.82,,1685.3,2.68
9/30/2012,254.32,69.6,29.76,,1776.1,2.82
10/31/2012,232.89,70.44,28.54,,1721.3,2.85
11/30/2012,252.05,74.28,26.62,,1712.7,2.81
12/31/2012,250.87,75.36,26.71,,1675.8,2.95
1/31/2013,265.5,73.87,27.45,,1662,3.17
2/28/2013,264.27,76.9,27.8,,1578.1,3.1
3/31/2013,266.49,85.85,28.61,,1597.4,3.1
4/30/2013,253.81,91.41,33.1,,1472.7,2.88
5/31/2013,269.2,99.02,34.9,,1392.8,3.3
6/30/2013,277.69,102.44,34.55,,1223.8,3.52
7/31/2013,301.22,105.1,31.84,,1312.4,3.64
8/31/2013,280.98,103.92,33.4,,1395.9,3.7
9/30/2013,312.64,117.5,33.28,,1326.8,3.69
10/31/2013,364.03,130.5,35.41,196.02,1324.1,3.63
11/30/2013,393.62,134.25,38.13,1068.36,1250.5,3.82
12/31/2013,398.79,136.49,37.41,744.17,1201.9,3.96
1/31/2014,358.69,125.26,37.84,841.49,1239.8,3.61
2/28/2014,362.1,128.92,38.31,567.29,1321.4,3.59
3/31/2014,336.37,125.49,40.99,472.48,1283.7,3.56
4/30/2014,304.13,129.02,40.4,444.86,1295.6,3.47
5/31/2014,312.55,135.25,40.94,571.85,1252,3.33
6/30/2014,324.78,127.23,41.7,597.51,1325.9,3.34
7/31/2014,312.99,120.48,43.16,564.57,1281.7,3.32
8/31/2014,339.04,126.8,45.43,506.03,1291.4,3.09
9/30/2014,322.44,127.38,46.36,376.08,1218,3.21
10/31/2014,305.46,124.91,46.95,343.56,1175,3.07
11/30/2014,338.64,134.36,47.81,368.98,1177.3,2.89
12/31/2014,310.35,129.98,46.45,309.9,1186.4,2.75
1/31/2015,354.53,145.37,40.4,233.14,1281.3,2.25
2/28/2015,380.16,150.85,43.85,251.29,1215.4,2.6
3/31/2015,372.1,150.08,40.66,247.26,1184.9,2.54
4/30/2015,421.78,143.34,48.64,226,1182.9,2.75
5/31/2015,429.23,140.52,46.86,237.23,1189.6,2.88
6/30/2015,434.09,138.72,44.15,258.39,1171.5,3.11
7/31/2015,536.15,144.17,46.7,286.74,1094.8,2.92
8/31/2015,512.89,130.68,43.52,227.18,1142.4,2.95
9/30/2015,511.89,130.95,44.26,238.06,1122.3,2.87
10/31/2015,625.9,148.07,52.64,326.56,1148,2.93
11/30/2015,664.8,145.45,54.35,375.2,1072.8,2.98
12/31/2015,675.89,144.59,55.48,424.96,1067.3,3.01
1/31/2016,587,120.13,55.09,369.13,1116.5,2.75
2/29/2016,552.52,118.18,50.88,438.28,1239.2,2.61
3/31/2016,593.64,126.94,55.23,414.46,1242.2,2.61
4/30/2016,659.59,134.8,49.87,446.24,1299.9,2.66
5/31/2016,722.79,126.15,53,537.23,1227.9,2.64
6/30/2016,715.62,129.87,51.17,635.09,1332.9,2.3
7/31/2016,758.81,133.66,56.68,655.43,1350.3,2.18
8/31/2016,769.16,129.45,57.46,573.78,1317.2,2.23
9/30/2016,837.31,131.74,57.6,604.52,1324.2,2.32
10/31/2016,789.82,142.43,59.92,693.9,1280.3,2.58
11/30/2016,750.57,150.56,60.26,731.64,1202.7,3.02
12/31/2016,749.87,155.68,62.14,954.84,1183.5,3.06
1/31/2017,823.48,163.42,64.65,921.35,1209.8,3.05
2/28/2017,845.04,180.23,63.98,1189.95,1252.6,2.97
3/31/2017,886.54,176.86,65.86,1048.86,1249.5,3.02
4/30/2017,924.99,184.83,68.46,1335.83,1266.1,2.96
5/31/2017,994.62,187.63,69.84,2170.98,1273.6,2.87
6/30/2017,968,197.75,68.93,2547.32,1266.6,2.84
7/31/2017,987.78,242.46,72.7,2718.62,1268.9,2.89
8/31/2017,980.6,239.66,74.77,4676.14,1339.7,2.73
9/30/2017,961.35,254.21,74.49,4062.2,1327.1,2.86
10/31/2017,1105.28,257.98,83.18,6130.56,1312.1,2.88
11/30/2017,1176.75,276.8,84.17,10542.66,1274.8,2.83
12/31/2017,1169.47,294.91,85.54,14867.57,1311.4,2.74
1/31/2018,1450.89,354.37,95.01,9914.47,1340.4,2.95
2/28/2018,1512.45,362.21,93.77,10903.02,1315.5,3.13
3/31/2018,1447.34,327.88,91.27,7866.36,1324.3,2.97
4/30/2018,1566.13,333.56,93.52,9268.72,1322.3,3.11
5/31/2018,1629.62,352.16,98.84,7448.48,1302.6,3
6/30/2018,1699.8,335.51,98.61,6189.31,1251.3,2.98
7/31/2018,1777.44,356.3,106.08,7700.83,1226.4,3.08
8/31/2018,2012.71,342.79,112.33,7028.45,1200.3,3.02
9/30/2018,2003,371.9,114.37,6502.69,1193.9,3.19
10/31/2018,1598.01,354.86,106.81,6321.71,1212.3,3.39
11/30/2018,1690.17,346.76,110.89,3952.45,1223.6,3.3
12/31/2018,1501.97,322.5,101.57,3689.56,1278.3,3.02
1/31/2019,1718.73,385.62,104.43,3420.63,1322.3,2.99
2/28/2019,1639.83,439.96,112.03,3799.68,1352.8,3.09
3/31/2019,1780.75,381.42,117.94,4080.26,1328,2.81
4/30/2019,1926.52,377.69,130.6,5277.44,1315.2,2.93
5/31/2019,1775.07,341.61,123.68,8513.2,1333,2.58
6/30/2019,1893.63,364.01,133.96,12316.95,1434,2.52
7/31/2019,1866.78,341.18,136.27,10005.29,1449,2.53
8/31/2019,1776.29,364.09,137.86,9590.74,1541,1.96
9/30/2019,1735.91,380.47,139.03,8241.34,1485.1,2.12
10/31/2019,1776.66,339.91,143.37,9131.41,1526.9,2.17
11/30/2019,1800.8,366.18,151.38,7729.27,1478.1,2.21
12/31/2019,1847.84,325.76,157.7,7179.96,1519.5,2.39
1/31/2020,2008.72,318.27,170.23,9388.88,1587.9,1.99
2/29/2020,1883.75,275.11,162.01,8778.47,1566.7,1.65
3/31/2020,1949.72,149.14,157.71,6446.42,1596.6,1.35
4/30/2020,2474,141.02,179.21,8767.67,1701,1.28
5/31/2020,2442.37,145.85,183.25,9425.28,1751.7,1.41
6/30/2020,2758.82,183.3,203.51,9148.44,1800.5,1.41
7/31/2020,3164.68,158,205.01,11373.32,1973.9,1.2
8/31/2020,3450.96,171.82,225.53,11678.37,1970.5,1.49
9/30/2020,3148.73,165.26,210.33,10741.58,1887.5,1.46
10/31/2020,3036.15,144.39,202.47,13573.71,1877.4,1.65
11/30/2020,3168.04,210.71,214.07,19382.36,1780.9,1.58
12/31/2020,3256.93,214.06,222.42,29111.52,1895.1,1.65
1/31/2021,3206.2,194.19,231.96,34842.56,1850.3,1.87
2/28/2021,3092.93,212.01,232.38,45752.11,1728.8,2.17
3/31/2021,3094.08,254.72,235.77,58918.83,1715.6,2.41
4/30/2021,3161,252.96,242.35,59095.81,1728.4,2.34
