,,r2,m,b,x1,x2,2/28/2021,y1,y2,change,latitude,longitude
1,Auburn,0.876533497,84.47989132,248831.1999,3372.2,23923.33,495000,533714.2895,2269871.518,3.585599027,47.303722,-122.26608
2,Bainbridge Island,0.690019895,166.0573571,513190.5069,3372.2,23923.33,872000,1073169.127,4485835.461,4.144306721,47.65526,-122.53508
3,Bellevue,0.780962869,188.2406692,549556.5237,3372.2,23923.33,1036000,1184341.708,5052900.173,3.87731677,47.432251,-121.803388
4,Bothell,0.778954886,135.7670048,386915.7276,3372.2,23923.33,782000,844749.2212,3634914.586,3.648228371,47.751471,-122.20257
5,Brier,0.594635276,142.2507457,386450.2845,3372.2,23923.33,708000,866148.249,3789561.816,4.35248844,,
6,Burien,0.799110627,105.0665284,242424.6087,3372.2,23923.33,530000,596729.9557,2755965.839,4.199935545,,
7,Des Moines,0.79732207,100.9839243,215843.4418,3372.2,23923.33,534000,556381.4312,2631715.186,3.928305592,,
8,DuPont,0.764984769,53.28981582,256401.8628,3372.2,23923.33,448000,436105.7798,1531271.712,2.418017215,,
9,Edmonds,0.834119484,124.0124355,346588.09,3372.2,23923.33,745000,764782.8249,3313378.508,3.44748793,47.803668,-122.37096
10,Everett,0.87909751,91.56623446,233999.8118,3372.2,23923.33,479000,542779.4676,2424569.056,4.061730805,47.986274,-122.20222
11,Federal Way,0.850401675,87.56363334,219325.1527,3372.2,23923.33,490000,514607.237,2314138.849,3.722732345,47.311072,-122.31188
12,Issaquah,0.735942185,145.2210707,446008.0953,3372.2,23923.33,752000,935722.5899,3920179.693,4.21300491,47.522828,-122.02921
13,Kenmore,0.714257916,138.2173061,408539.5758,3372.2,23923.33,875000,874635.9753,3715157.8,3.245894629,47.75287,-122.24736
14,Kent,0.865962984,93.65604056,245901.3637,3372.2,23923.33,520000,561728.2637,2486465.728,3.781664862,47.369098,-122.192276
15,Kirkland,0.832007759,188.8940774,428720.4199,3372.2,23923.33,1008000,1065709.028,4947695.768,3.908428341,47.67903,-122.1934
16,Lake Forest Park,0.514054377,134.0291471,435763.9892,3372.2,23923.33,794000,887737.0791,3642187.505,3.587137916,,
17,Lakewood,0.897488941,73.39600046,184140.0158,3372.2,23923.33,412000,431646.0085,1940016.755,3.708778533,47.12562,-122.52294
18,Lynnwood,0.846408696,111.2020821,288131.3178,3372.2,23923.33,680000,663126.9792,2948455.426,3.335963861,47.808816,-122.28394
19,Marysville,0.893269523,92.79721057,217157.4542,3372.2,23923.33,525000,530088.2077,2437175.746,3.642239516,48.061269,-122.1588
20,Mercer Island,0.617875885,296.9597088,942320.688,3372.2,23923.33,1653000,1943728.218,8046585.798,3.867867997,47.569271,-122.23233
21,Mill Creek,0.812390686,118.6212149,354468.0631,3372.2,23923.33,679000,754482.524,3192282.533,3.701447029,,
22,Mountlake Terrace,0.809337052,113.8174325,236859.1681,3372.2,23923.33,588000,620674.314,2959751.165,4.033590417,47.790969,-122.30539
23,Mukilteo,0.745292315,100.8361387,396813.856,3372.2,23923.33,725000,736853.483,2809150.078,2.874689763,47.916148,-122.30293
24,Newcastle,0.588354292,155.5185773,539619.8346,3372.2,23923.33,848000,1064059.581,4260142.081,4.023752454,,
25,North Bend,0.841578024,174.638922,344895.9517,3372.2,23923.33,947000,933813.3243,4522840.513,3.77596675,,
26,Olympia,0.935996001,62.56855817,226567.7128,3372.2,23923.33,430000,437561.4047,1723415.978,3.007944134,,
27,Puyallup,0.910389581,78.88890348,217291.8729,3372.2,23923.33,462000,483321.0332,2104577.144,3.555361784,47.196272,-122.31577
28,Redmond,0.778835093,163.559152,514487.4658,3372.2,23923.33,960000,1066041.638,4427367.033,3.611840659,47.677471,-122.12138
29,Renton,0.827401808,100.4322683,295405.7469,3372.2,23923.33,598000,634083.4419,2698080.043,3.511839537,47.467422,-122.21005
30,Sammamish,0.855829338,201.301195,586935.0813,3372.2,23923.33,1308000,1265762.971,5402729.998,3.130527521,47.625364,-122.045347
31,SeaTac,0.768842294,99.98011035,196474.4042,3372.2,23923.33,508000,533627.3324,2588331.578,4.095140901,,
32,Seattle,0.745039633,132.2341833,424339.043,3372.2,23923.33,710000,870259.1558,3587821.047,4.05326908,47.432251,-121.803388
33,"Seattle, WA metro ",0.847714041,113.3735975,339215.3588,3372.2,23923.33,655000,721533.8043,3051489.345,3.658762359,,
34,Seattle - Beacon Hill,0.754220716,137.0175667,322396.4108,3372.2,23923.33,644995,784447.0492,3600312.875,4.581923696,47.5526,-122.3009
35,Seattle - Belltown,0.597566696,85.45228317,386490.7284,3372.2,23923.33,582000,674652.9177,2430793.898,3.176621818,47.6147,-122.3448
36,Seattle - Capitol Hill,0.749443904,123.7825951,372553.592,3372.2,23923.33,726475,789973.259,3333845.462,3.589071147,47.6253,-122.3222
37,Seattle - Columbia City,0.711728404,140.543963,364326.0966,3372.2,23923.33,670000,838268.4485,3726605.702,4.562098063,47.5608,-122.287
38,Seattle - Magnolia,0.782591618,176.1312969,568062.6892,3372.2,23923.33,1088000,1162012.649,4781709.829,3.394953887,47.6468,-122.401
39,Seattle - Queen Anne,0.749087627,159.8896408,493606.8599,3372.2,23923.33,849000,1032786.707,4318699.501,4.086807422,47.6323,-122.3569
40,Seattle - South Lake Union,0.495501431,80.41545577,359071.7372,3372.2,23923.33,554000,630248.7371,2282877.223,3.120717008,47.6256,-122.3344
41,Seattle - Wallingford,0.690654967,141.7398776,587542.7793,3372.2,23923.33,860375,1065517.994,3978432.645,3.624068162,47.6614,-122.3421
42,Seattle - West Seattle,0.762491378,124.6293426,378414.5143,3372.2,23923.33,660000,798689.5835,3359963.405,4.090853644,47.5667,-122.3868
43,Shoreline,0.78288469,136.426847,321396.9237,3372.2,23923.33,638000,781455.537,3585181.404,4.61940659,47.763669,-122.35384
44,Snoqualmie,0.758035291,134.4705747,449780.7036,3372.2,23923.33,800000,903242.3757,3666764.638,3.583455798,,
45,Tacoma,0.918661759,81.69956814,164452.971,3372.2,23923.33,402000,439960.2547,2118978.7,4.271091295,47.253671,-122.444335
46,Tukwila,0.742787135,105.3376714,189250.2407,3372.2,23923.33,450000,544469.9363,2709278.116,5.020618034,,
47,Woodinville,0.816803626,168.8315316,485677.0616,3372.2,23923.33,903000,1055010.752,4524689.505,4.010730349,47.758786,-122.10205
48,Average,0.843405423,127.115146,367756.7243,3372.2,23923.33,714549.8936,796414.4198,3408774.311,3.770519653,,
